order_id,customer_id,item_name,category,brand,region,order_stage,order_ts,qty,unit_price,discount_pct,payment_channel,fulfillment_center
NC20260001,CUST1013,PulseFit Smart Band,Wearables,PulseFit,Central,Delivered,2026-02-27 04:47:00,1,11941.34,,Card,FC-Pune
NC20260002,CUST1069,Vertex Gaming Mouse,Electronics,Quantum,West,Shipped,2026-07-03 20:44:00,5,715.61,5,,FC-Hyderabad
NC20260003,CUST1011,Ferro Cast Iron Skillet,Kitchen,Ferro,West,Processing,2026-02-25 10:06:00,4,5640.93,5,Card,FC-Bengaluru
NC20260004,CUST1080,Terra Ceramic Plant Pot,Home,Terra,Central,Delivered,2026-01-21 17:18:00,5,2258.77,,Wallet,FC-Pune
NC20260005,CUST1081,Ember Insulated Water Bottle,Outdoor,Ember,East,Delivered,2026-04-08 08:29:00,1,13727.49,0,UPI,FC-Bengaluru
NC20260006,CUST1059,TrailBlaze Hiking Backpack,Outdoor,Summit,West,Delivered,2026-07-06 07:10:00,5,10268.16,20,Wallet,FC-Pune
NC20260007,CUST1027,Zenith 4K Monitor 27in,Electronics,ViewPro,Central,Shipped,2026-04-13 08:04:00,2,13201.3,10,Wallet,FC-Mumbai
NC20260008,CUST1033,Terra Ceramic Plant Pot,Home,Terra,Central,Delivered,2026-07-10 17:34:00,2,4457.62,5,NetBanking,FC-Pune
NC20260009,CUST1020,Vertex Gaming Mouse,Electronics,Quantum,West,Delivered,2026-01-29 04:40:00,4,1726.28,0,COD,FC-Delhi
NC20260010,CUST1087,Voyager Carry-on Suitcase,Travel,Voyager,Central,Delivered,2026-06-24 23:07:00,5,13813.24,0,Wallet,FC-Bengaluru
NC20260011,CUST1081,Voyager Carry-on Suitcase,Travel,Voyager,Central,Delivered,2026-01-28 20:19:00,5,12261.81,20,COD,FC-Mumbai
NC20260012,CUST1046,Vertex Gaming Mouse,Electronics,Quantum,East,Delivered,2026-01-05 03:59:00,1,9702.43,15,UPI,FC-Delhi
NC20260013,CUST1084,Basecamp 2-Person Tent,Outdoor,Summit,West,Delivered,2026-07-16 04:08:00,1,15653.36,20,COD,FC-Mumbai
NC20260014,CUST1051,Lumos LED Desk Lamp,Home,Lumos,East,Delivered,2026-02-21 22:19:00,5,12156.66,25,NetBanking,FC-Pune
NC20260015,CUST1090,Aurora Wireless Earbuds,Electronics,SoundWave,North,Cancelled,2026-02-26 00:04:00,5,8995.57,20,UPI,FC-Delhi
NC20260016,CUST1073,Quantum Mechanical Keyboard,Electronics,Quantum,Central,Processing,2026-05-19 04:46:00,3,10801.95,5,NetBanking,FC-Mumbai
NC20260017,CUST1086,PulseFit Smart Band,Wearables,PulseFit,North,Shipped,2026-04-30 23:03:00,4,5861.47,15,Card,FC-Hyderabad
NC20260018,CUST1059,Lumos LED Desk Lamp,Home,Lumos,South,Processing,2026-04-19 05:17:00,2,8718.69,5,Card,FC-Hyderabad
NC20260019,CUST1061,Solstice Reading Lamp,Home,Lumos,South,Delivered,2026-02-12 13:31:00,1,15512.24,,NetBanking,FC-Delhi
NC20260020,CUST1091,Terra Ceramic Plant Pot,Home,Terra,West,Delivered,2026-07-20 17:42:00,3,6940.22,25,UPI,FC-Mumbai
NC20260021,CUST1064,Solstice Reading Lamp,Home,Lumos,Central,Returned,2026-01-13 18:30:00,1,12042.22,0,UPI,FC-Delhi
NC20260022,CUST1072,Ridge Trail Running Shoes,Footwear,Summit,South,Delivered,2026-04-14 03:56:00,1,10899.84,5,COD,FC-Pune
